,Postalcode,Name,Huoneet,Keskivuokra - ARA-vuokra,Keskivuokra - Vapaarah. vanhat,Keskivuokra - Vapaarah. uudet,Kuukausivuokra - ARA-vuokra,Kuukausivuokra - Vapaarah. vanhat,Kuukausivuokra - Vapaarah. uudet,duration-w,duration-t,duration-d,duration-b
179,770,Jakomäki - Alppikylä,1h,13.6,18.2,19.2,462.0,590.0,612.0,1 hour 58 mins,20 mins,11 mins,35 mins
180,770,Jakomäki - Alppikylä,2h,13.0,13.3,14.1,670.0,738.0,752.0,1 hour 58 mins,20 mins,11 mins,35 mins
181,770,Jakomäki - Alppikylä,3h+,11.8,12.3,12.7,914.0,1000.0,1039.0,1 hour 58 mins,20 mins,11 mins,35 mins
182,780,Tapaninvainio,1h,15.1,19.3,22.8,522.0,630.0,676.0,1 hour 31 mins,30 mins,14 mins,27 mins
183,780,Tapaninvainio,2h,12.7,14.3,14.8,649.0,732.0,816.0,1 hour 31 mins,30 mins,14 mins,27 mins
184,780,Tapaninvainio,3h+,11.8,8.6,11.0,881.0,859.0,940.0,1 hour 31 mins,30 mins,14 mins,27 mins
185,790,Viikki,1h,14.9,20.4,20.1,456.0,614.0,576.0,1 hour 12 mins,22 mins,10 mins,23 mins
186,790,Viikki,2h,14.2,18.0,18.3,734.0,854.0,899.0,1 hour 12 mins,22 mins,10 mins,23 mins
187,790,Viikki,3h+,13.1,14.4,14.9,1066.0,1130.0,1169.0,1 hour 12 mins,22 mins,10 mins,23 mins
188,800,Länsi-Herttoniemi,1h,13.3,21.4,22.8,406.0,608.0,628.0,1 hour 23 mins,35 mins,15 mins,24 mins
189,800,Länsi-Herttoniemi,2h,12.0,15.6,17.4,611.0,727.0,825.0,1 hour 23 mins,35 mins,15 mins,24 mins
190,800,Länsi-Herttoniemi,3h+,12.2,11.9,13.7,856.0,865.0,1195.0,1 hour 23 mins,35 mins,15 mins,24 mins
191,810,Herttoniemi,1h,16.4,20.7,24.0,624.0,615.0,665.0,1 hour 16 mins,33 mins,15 mins,24 mins
192,810,Herttoniemi,2h,14.3,17.5,20.1,738.0,828.0,950.0,1 hour 16 mins,33 mins,15 mins,24 mins
193,810,Herttoniemi,3h+,13.2,16.1,16.6,1110.0,1281.0,1174.0,1 hour 16 mins,33 mins,15 mins,24 mins
194,820,Roihuvuori,1h,20.5,20.6,21.5,552.0,563.0,583.0,1 hour 38 mins,43 mins,17 mins,28 mins
195,820,Roihuvuori,2h,12.5,15.8,17.2,620.0,756.0,829.0,1 hour 38 mins,43 mins,17 mins,28 mins
196,820,Roihuvuori,3h+,13.3,14.5,14.6,949.0,1020.0,1040.0,1 hour 38 mins,43 mins,17 mins,28 mins
197,830,Tammisalo,1h,,24.0,,,691.0,,1 hour 43 mins,52 mins,19 mins,30 mins
198,830,Tammisalo,2h,,,,,,,1 hour 43 mins,52 mins,19 mins,30 mins
199,830,Tammisalo,3h+,,15.1,,,1869.0,,1 hour 43 mins,52 mins,19 mins,30 mins
200,870,Etelä-Laajasalo,1h,14.3,19.1,19.5,487.0,634.0,621.0,1 hour 57 mins,53 mins,19 mins,34 mins
201,870,Etelä-Laajasalo,2h,12.6,17.2,16.8,656.0,818.0,834.0,1 hour 57 mins,53 mins,19 mins,34 mins
202,870,Etelä-Laajasalo,3h+,11.6,14.0,14.3,882.0,1099.0,1029.0,1 hour 57 mins,53 mins,19 mins,34 mins
203,920,Myllypuro,1h,14.1,16.8,21.2,441.0,517.0,628.0,1 hour 41 mins,34 mins,12 mins,29 mins
204,920,Myllypuro,2h,12.4,15.3,16.1,626.0,772.0,843.0,1 hour 41 mins,34 mins,12 mins,29 mins
205,920,Myllypuro,3h+,11.8,13.4,13.3,934.0,1077.0,1034.0,1 hour 41 mins,34 mins,12 mins,29 mins
